USER_ID,PLATFORM,APP_NAME,CREATE_TS,INSTALL_TS,SESSION_ID
89,ios,app_1,2022-01-03 20:19:16.000,2022-01-03 17:03:28.000,1641241156145
77,ios,app_1,2022-01-03 12:05:37.000,2022-01-03 12:05:37.000,1641211537999
75,ios,app_1,2022-01-03 20:22:16.000,2022-01-02 23:32:54.000,1641241336401
23,ios,app_1,2022-01-03 13:42:10.000,2022-01-01 21:18:53.000,1641217330367
54,ios,app_1,2022-01-03 13:31:50.000,2022-01-02 20:06:10.000,1641216710819
54,ios,app_1,2022-01-03 13:32:17.000,2022-01-02 20:06:10.000,1641216737737
54,ios,app_1,2022-01-03 13:33:02.000,2022-01-02 20:06:10.000,1641216782405
54,ios,app_1,2022-01-03 13:33:34.000,2022-01-02 20:06:10.000,1641216814370
54,ios,app_1,2022-01-03 13:34:32.000,2022-01-02 20:06:10.000,1641216872941
54,ios,app_1,2022-01-03 13:34:58.000,2022-01-02 20:06:10.000,1641216898433
54,ios,app_1,2022-01-03 13:36:03.000,2022-01-02 20:06:10.000,1641216963747
54,ios,app_1,2022-01-03 13:36:14.000,2022-01-02 20:06:10.000,1641216974214
54,ios,app_1,2022-01-03 13:37:13.000,2022-01-02 20:06:10.000,1641217033351
54,ios,app_1,2022-01-03 13:37:53.000,2022-01-02 20:06:10.000,1641217073849
54,ios,app_1,2022-01-03 13:38:38.000,2022-01-02 20:06:10.000,1641217118180
54,ios,app_1,2022-01-03 14:02:15.000,2022-01-02 20:06:10.000,1641218535574
64,ios,app_1,2022-01-04 13:21:40.000,2022-01-02 15:48:20.000,1641302500229
42,ios,app_1,2022-01-04 11:29:32.000,2022-01-02 15:21:58.000,1641295772635
42,ios,app_1,2022-01-04 11:49:19.000,2022-01-02 15:21:58.000,1641296959952
42,ios,app_1,2022-01-04 11:51:00.000,2022-01-02 15:21:58.000,1641297060740
42,ios,app_1,2022-01-04 11:56:23.000,2022-01-02 15:21:58.000,1641297383275
42,ios,app_1,2022-01-04 11:57:57.000,2022-01-02 15:21:58.000,1641297477006
42,ios,app_1,2022-01-04 12:11:49.000,2022-01-02 15:21:58.000,1641298309194
23,ios,app_1,2022-01-04 13:34:30.000,2022-01-01 21:18:53.000,1641303270727
27,ios,app_1,2022-01-02 08:36:56.000,2022-01-01 03:38:36.000,1641112616456
27,ios,app_1,2022-01-02 10:01:16.000,2022-01-01 03:38:36.000,1641117676650
27,ios,app_1,2022-01-02 10:02:48.000,2022-01-01 03:38:36.000,1641117768334
27,ios,app_1,2022-01-02 10:06:37.000,2022-01-01 03:38:36.000,1641117997130
68,ios,app_1,2022-01-02 09:30:57.000,2022-01-02 09:30:36.000,1641115857209
68,ios,app_1,2022-01-02 09:38:39.000,2022-01-02 09:30:36.000,1641116319187
95,android,app_1,2022-01-05 07:12:31.000,2022-01-04 10:59:57.000,1641366751545
68,ios,app_1,2022-01-02 21:06:53.000,2022-01-02 09:30:36.000,1641157613067
